issue,sourceRef,productId,name,taxonomy,destination,unitPrice,available
detail_fallback,vinpearl:tour:VW02060,890d0903-4394-5b3e-8034-f912d9619a10,[Hòn Tằm] - Phao chuối (05 người),attraction,Nha Trang,0,True
non_vi_or_undetected,vinpearl:tour:VW01946,4c1aad27-5651-554c-8d8f-20a9fe3d921f,[VinWonders Cửa Hội] [Combo phiêu lưu] - Cáp Treo + Games trên Đảo,combo,Nghệ An,360000,True
non_vi_or_undetected,vinpearl:tour:VW01945,da3bb972-51c9-5f4b-ba0a-40e3dfa7a23a,[VinWonders Cửa Hội] - Combo 03 Games trên Đảo,combo,Nghệ An,190000,True
non_vi_or_undetected,vinpearl:tour:VW01915,768b8e19-3a7d-5e8a-be25-537bacae999c,[Wonder Ngon] [All-in-one] - Combo Phá Đảo 04 Khu Cửa Hội + Ẩm thực,combo,Nghệ An,740000,True
non_vi_or_undetected,vinpearl:tour:VW01821,b87310b1-8956-5e44-84ee-6c5066496b5e,[Wonder Ngon] - Combo Cáp treo Cửa Hội + Games Đảo + Ẩm thực,combo,Nghệ An,510000,True
non_vi_or_undetected,vinpearl:tour:VW01817,db2df34c-4255-5fff-a09d-a38104413492,[Wonder Ngon] - Combo Cáp treo + Công viên nước Cửa Hội + Ẩm thực,combo,Nghệ An,570000,True
non_vi_or_undetected,vinpearl:tour:VW01730,10671599-c49f-5603-8c36-f57aec2f451a,[Công Viên Nước Hà Tĩnh] - Combo Công viên nước + Vòng Quay Thời Gian,combo,Hà Tĩnh,100000,True
non_vi_or_undetected,vinpearl:tour:VW01729,dba9bee5-7c29-5aa8-ad0f-8d7d34343193,[Công Viên Nước Hà Tĩnh] - Vé chơi Vòng Quay Thời Gian,attraction,Hà Tĩnh,30000,True
no_positive_price,vinpearl:tour:VW01656,c4d57fa1-5289-5766-bdc0-b4cbdd8973a6,HSSV - Combo vé vào cửa 2 khu: Thuỷ Cung & VinKE Times City Hà Nội,combo,Hà Nội,0,True
zero_price_available,vinpearl:tour:VW01656,c4d57fa1-5289-5766-bdc0-b4cbdd8973a6,HSSV - Combo vé vào cửa 2 khu: Thuỷ Cung & VinKE Times City Hà Nội,combo,Hà Nội,0,True
detail_fallback,vinpearl:tour:VW01656,c4d57fa1-5289-5766-bdc0-b4cbdd8973a6,HSSV - Combo vé vào cửa 2 khu: Thuỷ Cung & VinKE Times City Hà Nội,combo,Hà Nội,0,True
no_positive_price,vinpearl:tour:VW01186,783c2f74-abcf-58e2-a5d6-d998cdc24ac8,[Vinpearl Harbour] - Combo 02 người: Cáp treo 02 chiều + Xe đôi GoKart,combo,Nha Trang,0,True
zero_price_available,vinpearl:tour:VW01186,783c2f74-abcf-58e2-a5d6-d998cdc24ac8,[Vinpearl Harbour] - Combo 02 người: Cáp treo 02 chiều + Xe đôi GoKart,combo,Nha Trang,0,True
detail_fallback,vinpearl:tour:VW01186,783c2f74-abcf-58e2-a5d6-d998cdc24ac8,[Vinpearl Harbour] - Combo 02 người: Cáp treo 02 chiều + Xe đôi GoKart,combo,Nha Trang,0,True
no_positive_price,vinpearl:tour:VW01185,34bbbf93-12c5-582f-9c9b-f3e58d558f0c,[Vinpearl Harbour] [Combo 04 người] - Cáp treo 2 chiều + Xe đơn GoKart,combo,Nha Trang,0,True
zero_price_available,vinpearl:tour:VW01185,34bbbf93-12c5-582f-9c9b-f3e58d558f0c,[Vinpearl Harbour] [Combo 04 người] - Cáp treo 2 chiều + Xe đơn GoKart,combo,Nha Trang,0,True
detail_fallback,vinpearl:tour:VW01185,34bbbf93-12c5-582f-9c9b-f3e58d558f0c,[Vinpearl Harbour] [Combo 04 người] - Cáp treo 2 chiều + Xe đơn GoKart,combo,Nha Trang,0,True
no_positive_price,vinpearl:tour:VW01167,90ce6937-6773-5d29-9508-4887e7dbf13c,[VinWonders Cửa Hội] - Xe đơn GoKart đua xe F1,attraction,Nghệ An,0,True
zero_price_available,vinpearl:tour:VW01167,90ce6937-6773-5d29-9508-4887e7dbf13c,[VinWonders Cửa Hội] - Xe đơn GoKart đua xe F1,attraction,Nghệ An,0,True
detail_fallback,vinpearl:tour:VW01167,90ce6937-6773-5d29-9508-4887e7dbf13c,[VinWonders Cửa Hội] - Xe đơn GoKart đua xe F1,attraction,Nghệ An,0,True
non_vi_or_undetected,vinpearl:tour:VW01108,40c5fa48-c149-5555-8a0b-c53999e4a0aa,[VinWonders Cửa Hội] - Cáp Treo 2 Chiều Tiêu Chuẩn,attraction,Nghệ An,200000,True
no_positive_price,vinpearl:tour:VW01055,e7eb56db-e90f-55bc-a4c2-093f61585602,[Vinpearl Harbour] - Combo 01 người: Cáp treo 02 chiều + Xe đơn GoKart,combo,Nha Trang,0,True
zero_price_available,vinpearl:tour:VW01055,e7eb56db-e90f-55bc-a4c2-093f61585602,[Vinpearl Harbour] - Combo 01 người: Cáp treo 02 chiều + Xe đơn GoKart,combo,Nha Trang,0,True
detail_fallback,vinpearl:tour:VW01055,e7eb56db-e90f-55bc-a4c2-093f61585602,[Vinpearl Harbour] - Combo 01 người: Cáp treo 02 chiều + Xe đơn GoKart,combo,Nha Trang,0,True
no_positive_price,vinpearl:tour:VW00932,45544d29-d68b-5081-a851-f7ea073bd02d,[Times City Hà Nội] [Thuỷ Cung Vinpearl Aquarium] Combo 2 Vé Người Lớn & Dịch vụ tỏ tình/ cầu hôn/ sinh nhật,combo,Hà Nội,0,True
zero_price_available,vinpearl:tour:VW00932,45544d29-d68b-5081-a851-f7ea073bd02d,[Times City Hà Nội] [Thuỷ Cung Vinpearl Aquarium] Combo 2 Vé Người Lớn & Dịch vụ tỏ tình/ cầu hôn/ sinh nhật,combo,Hà Nội,0,True
detail_fallback,vinpearl:tour:VW00932,45544d29-d68b-5081-a851-f7ea073bd02d,[Times City Hà Nội] [Thuỷ Cung Vinpearl Aquarium] Combo 2 Vé Người Lớn & Dịch vụ tỏ tình/ cầu hôn/ sinh nhật,combo,Hà Nội,0,True
description_under_80,vinpearl:tour:VW00474,9f34cb20-5df8-5fd7-bf62-7555bc7b053e,[Workshop nhí] - Teddy Junior Adventure - Nhà thám hiểm Bảo Tàng Gấu,attraction,Phú Quốc,500000,True
